type,title,description,on_english_wikipedia,label,sitelinks
Q15141321,NA,passenger or good transport by a specific train following a specific route at regular times,FALSE,train service,
Q35254629,NA,NA,FALSE,bauxite mine,
Q1149061,Sprachraum,"geographical region where a common first language, with dialect varieties, or group of languages is spoken",TRUE,language area,
Q130003,Ski resort,"mountainside developed for skiing, snowboarding, and other winter sports",TRUE,ski resort,
Q1438105,Research reactor,nuclear reactors that serve primarily as a neutron source,TRUE,research reactor,
Q2373919,Intentional community,"planned, socially-cohesive, residential community",TRUE,intentional community,
Q56061,Administrative division,"territorial entity for administration purposes, with or without its own local government",TRUE,administrative territorial entity,
Q473972,Protected area,"area which receives protection because of its recognized natural, ecological, or cultural values",TRUE,protected area,
Q38048753,NA,class of cultural heritage site of Australia,FALSE,natural cultural heritage site,
Q1268865,Light rail,typically an urban form of public transport using steel-tracked fixed guideways,TRUE,light rail system,
Q146591,Circle of latitude,all locations on the surface of the Earth that are equidistant from the Equator or either pole,TRUE,circle of latitude,
Q166620,Drainage basin,"area of land where precipitation collects and drains off into a common outlet, such as into a river, bay, or other body of water",TRUE,drainage basin,
Q2264924,NA,city or town which has a port,FALSE,port settlement,
Q1406331,Scenic route,specially designated road or waterway of interest,TRUE,scenic route,
Q174782,Town square,"open public spaces in cities or towns, usually rectilinear, surrounded by buildings, and often located at the junction of two or more thoroughfares",TRUE,square,
Q55833,Supercontinent,"landmass comprising more than one continental core, or craton",TRUE,supercontinent,
Q2284298,Paleocontinent,distinct area of continental crust that existed as a major landmass in the geological past,TRUE,paleocontinent,
Q204894,Marginal sea,"sea partially enclosed by islands, archipelagos, or peninsulas",TRUE,marginal sea,
Q926439,Street circuit,motorsport track composed of public roads of a city,TRUE,street circuit,
Q29981662,NA,road used only by buses,FALSE,busway,
Q269528,Unincorporated area,region of land not governed by own local government,TRUE,unincorporated area,
Q269949,Highway,a public road intended for rapid movement of motor vehicles between major towns,TRUE,highway,
Q31615,Cove,type of small bay or coastal inlet,TRUE,cove,
Q480260,NA,coat of arms of a municipality or similar locality,FALSE,local coat of arms,
Q811534,Veteran tree,"tree which, because of its great age, size or condition, or historical connection, is of exceptional cultural, landscape or nature conservation value",TRUE,remarkable tree,
Q39614,Cemetery,place of burial,TRUE,cemetery,
Q5003624,Memorial,"area or object, smaller than a monument, which serves as a focus for memory of something",TRUE,memorial,
Q215680,Tectonic plate,continuous section of the lithosphere of the Earth which is moving relative to adjacent plates,TRUE,tectonic plate,
Q105390172,NA,archdiocese of the Roman Catholic Church that has a suffragan diocese under its jurisdiction,FALSE,Roman Catholic metropolitan archdiocese,
Q187934,Monorail,single-rail based transportation system,TRUE,monorail,
Q74047,Ghost town,city depopulated of inhabitants and that often stays practically intact,TRUE,ghost town,
Q134447,Nuclear power plant,thermal power station where the heat source is a nuclear reactor,TRUE,nuclear power plant,
Q79007,Street,public thoroughfare in a built environment,TRUE,street,
Q1346540,Regions of Queensland,"geographic areas of Queensland, Australia",TRUE,region of Queensland,
Q1076486,Sports venue,"facility (building, structure, or place) dedicated to sports",TRUE,sports venue,
Q2904233,Bioregion,"ecologically and geographically defined area that is smaller than a biogeographical realm, but larger than an ecoregion or an ecosystem",TRUE,bioregion,
Q44782,Port,maritime facility where ships may dock to load and discharge passengers and cargo,TRUE,port,
Q47692,Chinese garden,style of garden,TRUE,Chinese garden,
Q202509,Chinatown,ethnic enclave of expatriate Chinese people,TRUE,Chinatown,
Q2977,Cathedral,"Christian church, which is seat of a bishop",TRUE,cathedral,
Q1048525,Golf course,grounds on which the sport of golf is played,TRUE,golf course,
Q2022036,Golf club (establishment),club organized to play golf,TRUE,golf club,
Q23010647,NA,"geographically localised and defined community within metropolitan Perth, Western Australia",FALSE,suburb of Perth,
Q125941113,NA,river from which gold nuggets are extracted,FALSE,gold river,
Q820477,Mine (mining),place for the extraction of minerals,TRUE,mine,
Q207694,Art museum,"building or space for the exhibition of art (for institution, use Q3196771)",TRUE,art museum,
Q682943,Cricket field,grassy ground on which the game of cricket is played,TRUE,cricket field,
Q5890494,Homestead (building),single or small group of buildings,TRUE,homestead,
Q34763,Peninsula,landform surrounded more than half but not entirely by water,TRUE,peninsula,
Q150784,Canyon,geomorphological formation as narrow and deep ravine between cliffs,TRUE,canyon,
Q1185274,Marine park,protected marine area for conservation purposes,TRUE,marine park,
Q161243,Dependent territory,territory that does not possess full political independence as a sovereign state,TRUE,dependent territory,
Q28777651,NA,NA,FALSE,group of protected areas,
Q5135744,Religious institute,Roman Catholic community of members bound by religious vows,TRUE,Catholic religious institute,
Q6617741,List of ecoregions (WWF),ecoregion as defined by the World Wildlife Fund,TRUE,WWF ecoregion,
Q111907301,NA,bioregion as defined by the Interim Biogeographical Regionalisation for Australia,FALSE,IBRA bioregion,
Q1254933,Astronomical observatory,location used for observing celestial events,TRUE,astronomical observatory,
Q212057,Shield volcano,type of volcano usually built almost entirely of fluid lava flows,TRUE,shield volcano,
Q7138926,Parliament buildings,"subclass of a legislative building, used by countries/entities which have a parliamentary form of government",TRUE,parliament building,
Q132510,NA,"location where people regularly gather for the purchase and sale of provisions, livestock, and other goods",FALSE,market,
Q123924129,NA,"district within a city, town, or other community marked out for specific governmental or administrative purposes",FALSE,precinct,
Q24354,Theater (structure),building designed for presentation of dramatic performances,TRUE,theatre building,
Q875157,Resort,self-contained commercial establishment which attempts to provide for most of a vacationer's wants,TRUE,resort,
Q1867183,Local government area of Australia,areas governed by the third and lowest tier of government in Australia,TRUE,local government area of Australia,
Q370607,High-voltage direct current,electric power transmission system,TRUE,high-voltage direct current power line,
Q158555,Cable-stayed bridge,type of bridge,TRUE,cable-stayed bridge,
Q537127,Road bridge,bridge that carries road traffic,TRUE,road bridge,
Q1322134,Gulf,large inlet that is an arm of an ocean or sea,TRUE,gulf,
Q55818,Impact crater,circular depression in a solid astronomical body formed by the impact of a smaller object,TRUE,impact crater,
Q2324919,State forest,government owned forest,TRUE,state forest,
Q44396585,NA,NA,FALSE,aluminium smelter,
Q83620,Thoroughfare,transportation route connecting one location to another,TRUE,thoroughfare,
Q123705,Neighbourhood,"geographically localized community within a larger city, town or suburb",TRUE,neighborhood,
Q449111,Subdivision (land),divided piece of land,TRUE,subdivision,
Q149621,District,"type of administrative division, in some countries",TRUE,district,
Q2904935,Regions of Sydney,"geographic region of Sydney, Australia",TRUE,region of Sydney,
Q944816,Biogeographic realm,broadest biogeographic division of the Earth's land surface,TRUE,biogeographic realm,
Q3397526,NA,type of bridge design with stone or brick material,FALSE,stone bridge,
Q14276458,NA,bridge with deck on top of arch structure,FALSE,deck arch bridge,
Q1664451,NA,railway on a small island,FALSE,island railway,
Q56242250,NA,churches that are the seat of bishops of the Anglican communion,FALSE,Anglican or Episcopal cathedral,
Q47928,Circus,commonly a travelling company of performers,TRUE,circus,
Q54050,Hill,"landform that extends above the surrounding terrain in lower mountain ranges, smaller than a mountain",TRUE,hill,
Q269770,Boarding school,school where some or all students live on campus,TRUE,boarding school,
Q9096832,Paleontological site,natural deposit containing fossils,TRUE,paleontological site,
Q2140699,NA,type of region,FALSE,wine-producing region,
Q9444,Rainforest,forest characterized by abundant precipitation,TRUE,rainforest,
Q1055465,Girder bridge,bridge built of girders placed on bridge abutments and foundation piers,TRUE,girder bridge,
Q1429218,Cantilever bridge,bridge built using cantilevers,TRUE,cantilever bridge,
Q3397519,NA,bridge made with prestressed concrete structural elements,FALSE,prestressed concrete bridge,
Q7858339,Twin bridges,two parallel bridges that act as a single crossing,TRUE,twin bridges,
Q149273,Tropical circle,circle of latitude,TRUE,tropic,
Q783953,Territorial claims in Antarctica,land claims of the continent,TRUE,territorial claims in Antarctica,
Q9019918,Endorheic lake,"lake with no outflow to other external bodies of water, such as rivers or oceans",TRUE,endorheic lake,
Q19610511,Township,designation for an administrative territorial entity,TRUE,township,
Q179049,Nature reserve,"protected area for flora, fauna or features of geological interest",TRUE,nature reserve,
Q1068623,Radio masts and towers,tall structure designed to support antennas,TRUE,transmitter mast,
Q1580122,Hyperboloid structure,architectural structure in the shape of a partial hyperboloid,TRUE,hyperboloid structure,
Q702492,Urban area,large area with high population density and infrastructure of built environment,TRUE,urban area,
Q55177716,NA,garden open to the public,FALSE,public garden,
Q46622,Controlled-access highway,"highway designed exclusively for high-speed vehicular traffic, with all traffic flow and ingress/egress regulated",TRUE,controlled-access highway,
Q134851,Continental shelf,portion of a continent that is submerged under an area of relatively shallow water known as a shelf sea,TRUE,continental shelf,
Q1081138,Historic site,"official location where pieces of political, military or social history have been preserved",TRUE,historic site,
Q1139892,Important Bird Area,area recognized as being globally important habitat for the conservation of birds populations,TRUE,Important Bird Area,
Q2385513,Stream pool,stretch of a river or stream in which the water depth is above average and the water velocity is quite below average; quiet slow-moving portion of a stream,TRUE,stream pool,
Q16917,Hospital,"health care facility, for individual buildings use hospital building, for organizations use medical organization",TRUE,hospital,
Q785020,Sedimentary basin,regions of long-term subsidence creating space for infilling by sediments,TRUE,sedimentary basin,
Q1497364,NA,set of related buildings,FALSE,building complex,
Q12323,Dam,barrier that impounds water or underground streams,TRUE,dam,
Q61457040,NA,NA,FALSE,Ramsar site in Australia,
Q420962,Heritage railway,railway used for heritage/historical/tourism purposes,TRUE,heritage railway,
Q16970,Church (building),building used for Christian worship,TRUE,church building,
Q1030048,NA,mine that contains diamonds,FALSE,diamond mine,
Q3947,House,building usually intended for living in,TRUE,house,
Q2087181,Historic house museum,house that has been transformed into a museum,TRUE,historic house museum,
Q811979,Architectural structure,human-designed and -made structure,TRUE,architectural structure,
Q1531518,Military ordinariate,Catholic ecclesiastical jurisdiction providing religious services for armed forces,TRUE,military ordinariate,
Q22698,Park,"permanently dedicated recreation area, often open to the public and generally characterized by natural, historic, or landscape features",TRUE,park,
Q575759,War memorial,memorial for the victims of a war,TRUE,war memorial,
Q28599311,NA,mine which primarily produces ores containing uranium,FALSE,uranium mine,
Q169358,Stratovolcano,"tall, conical volcano built up by many layers (strata) of hardened lava",TRUE,stratovolcano,
Q1759852,Sculpture garden,outdoor garden dedicated to the presentation of sculptures,TRUE,sculpture garden,
Q213441,Retail shop,place where items or services are sold,TRUE,shop,
Q645466,National coat of arms,coat of arms of a sovereign state,TRUE,national coat of arms,
Q2665272,NA,NA,FALSE,Ecclesiastical circumscription immediately subject to the Holy See,
Q20725872,NA,NA,FALSE,Eastern Catholic eparchy,
Q160091,Plain,flat geographic region,TRUE,plain,
Q38048771,NA,class of cultural heritage site of Australia,FALSE,indigenous cultural heritage site,
Q954501,Natural arch,natural rock formation where a rock arch forms,TRUE,natural arch,
Q105389481,NA,administrative territorial entity of Greek-Catholic Churches,FALSE,Greek-Catholic eparchy,
Q182886,Artificial whitewater,sports venue,TRUE,artificial whitewater,
Q1064041,Transcontinental railroad,contiguous network of railroad trackage that crosses a continental land mass with terminals at different oceans or continental borders,TRUE,transcontinental railroad,
Q1349255,Natural gas field,deposits rich in natural gas,TRUE,natural gas field,
Q105419665,NA,NA,FALSE,Roman Catholic archdiocese not metropolitan,
Q1304276,Arterial road,high-capacity urban road,TRUE,arterial road,
Q57659484,NA,building built or used exclusively or primarily for exhibitions; may be a permanent facility or a temporary structure,FALSE,exhibition hall,
Q39816,Valley,"low area between hills, often with a river running through it",TRUE,valley,
Q11707,Restaurant,"single establishment which prepares and serves food, located in building",TRUE,restaurant,
Q5393308,Buddhist temple,place of worship for Buddhists,TRUE,Buddhist temple,
Q1785071,Fort,military construction designed for defensive warfare,TRUE,fort,
Q5162993,Conservation park (Australia),protected area in Australia,TRUE,conservation park of Australia,
Q30674761,Australian marine parks,marine protected area managed by the Australian government,TRUE,Australian marine park,
Q55365010,NA,group of marine parks in Australia,FALSE,North-west Marine Parks Network,
Q1339195,Station building,main building of a passenger railway station,TRUE,station building,
Q1154710,Soccer-specific stadium,sports venue purposed mainly for association football (or soccer),TRUE,association football venue,
Q18674739,NA,"location suitable for hosting events, indoors or outdoors",FALSE,event venue,
Q11166728,NA,television transmission tower,FALSE,television tower,
Q1244922,Embankment dam,large artificial dam,TRUE,embankment dam,
Q481289,Official residence,"residence of heads of state, head of government, governor, religious leader, leaders of international organizations, or other equivalent figure",TRUE,official residence,
Q14659,Coat of arms,"heraldic design on a shield, surcoat or tabard",TRUE,coat of arms,
Q3284499,NA,building in a capital city used for administrative or legislative purposes,FALSE,capitol building,
Q29045049,NA,building where telegrams may be sent and received,FALSE,telegraph station,
Q188040,Quarry,"place from which dimension stone, rock, construction aggregate etc. has been excavated from the ground",TRUE,quarry,
Q820254,Mining community,community that houses miners,TRUE,mining community,
Q10354598,Rural settlement,settlement in the areas defined as rural by a governmental office,TRUE,rural settlement,
Q5783996,Cottage,"typically, a small house",TRUE,cottage,
Q5926864,NA,several lakes generally described together,FALSE,group of lakes,
Q211748,Oil field,region with an abundance of oil wells extracting petroleum (crude oil) from below ground,TRUE,oil field,
Q1286517,Natural landscape,original landscape formed by nature,TRUE,natural landscape,
Q120560,Minor basilica,title given to some Roman Catholic churches,TRUE,minor basilica,
Q2281788,Public aquarium,facility with large tanks for water-dwelling species,TRUE,public aquarium,
Q1798641,NA,"free-standing tower construction, designed to accommodate transmit antennas or directly as a transmitting antenna",FALSE,communication tower,
Q184358,Reef,feature lying beneath the surface of the water,TRUE,reef,
Q1200957,NA,place attracting many tourists,FALSE,tourist destination,
Q17054562,Regions of the Northern Territory,"administrative subdivision of the Northern Territory, Australia",TRUE,region of the Northern Territory,
Q4825213,Australian rules football playing field,location where Australian rules football games take place,TRUE,Australian rules football playing field,
Q9381142,Hill chain,elongated line of hills,TRUE,hill chain,
Q156362,Winery,agricultural plants cultivating or producing of wine,TRUE,winery,
Q49956097,NA,palaeolithic archaeological site,FALSE,paleolithic site,
Q464780,Mint (facility),factory that manufactures coins for currency,TRUE,mint,
Q1021711,Seaside resort,"resort town or resort hotel, located on the coast",TRUE,seaside resort,
Q6063204,Regional park,"area of land preserved on account of its natural beauty, historic interest, recreational use or other reason, and under the administration of a form of local government",TRUE,regional park,
Q194195,Amusement park,park with rides and attractions,TRUE,amusement park,
Q133056,Mountain pass,pass through a saddle or col to cross a mountain range,TRUE,mountain pass,
Q2140450,Geologic province,spatial entity with common geologic attributes,TRUE,geologic province,
Q1211146,Rock art,human-made markings on natural stone,TRUE,rock art,
Q195339,Research station,station that is built for the purpose of conducting scientific research,TRUE,research station,
Q917182,Military academy,higher education institution operated by or for the military,TRUE,military academy,
Q1522839,Staff college,"college with the purpose of training military officers in the administrative, staff and policy aspects of their profession",TRUE,staff college,
Q17018380,Bight (geography),"bend or curve in a coastline, river, or other geographical feature",TRUE,bight,
Q332548,Over-the-horizon radar,"radar system that can find targets at 100s–1000s of kilometres, beyond the radar horizon",TRUE,over-the-horizon radar,
Q2354973,NA,tunnel built for vehicular road traffic,FALSE,road tunnel,
Q7814340,Toll tunnel,is a road tunnel where a monetary charge (or toll) is required to pass through,TRUE,toll tunnel,
Q1140316,Penal colony,remote settlement used to house convicts from the general population,TRUE,penal colony,
Q781549,Megachurch,Protestant house of worship with an average weekend attendance of 2000 or more people,TRUE,megachurch,
Q35112127,NA,structure of historic nature,FALSE,historic building,
Q47053,Estuary,type of marine and riverine ecosystem,TRUE,estuary,
Q202570,Ferris wheel,amusement ride,TRUE,Ferris wheel,
Q3215290,NA,lake formed by people,FALSE,artificial lake,
Q10564300,NA,mine which primarily produces copper ore,FALSE,copper mine,
Q417175,NA,state over which a king or queen rules,FALSE,kingdom,
Q64364539,NA,NA,FALSE,LGBT place,
Q498002,Aerial tramway,type of aerial lift in which the cars are permanently fixed to the cables,TRUE,aerial tramway,
Q18247357,NA,"architectural structures or buildings that do not form a building complex, but are treated as a group",FALSE,group of structures or buildings,
Q749622,Research stations in Antarctica,research station in Antarctica,TRUE,Antarctic research station,
Q1210334,Railway bridge,bridge that can be crossed by a train,TRUE,railway bridge,
Q1898246,Vertical-lift bridge,movable bridge in which a span rises vertically while remaining parallel with the deck,TRUE,vertical-lift bridge,
Q28653,Mendicant orders,Type of religious lifestyle,TRUE,mendicant order,
Q15835,Japanese garden,type of traditional garden,TRUE,Japanese garden,
Q1497375,Architectural ensemble,"group of multiple related objects, such as buildings",TRUE,architectural ensemble,
Q295469,Ecoregion,ecologically and geographically defined area that is smaller than a bioregion,TRUE,ecoregion,
Q80078836,Mulga (habitat),xerophytic vegetation in Australian outback,TRUE,Mulga,
Q124221947,NA,Designated region of ecological significance by One Earth,FALSE,One Earth Ecoregion,
Q1192191,Airport rail link,railway providing passenger rail transport from an airport to a nearby city,TRUE,airport rail link,
Q124130104,NA,rail line used for commuter rail service,FALSE,commuter rail line,
Q177734,Artesian well,artificially drilled well in a depression below the groundwater table,TRUE,artesian well,
Q1262712,Gas pipeline,pipe designed for long-distance natural-gas transportation,TRUE,gas pipeline,
Q6558431,Coal-fired power station,facility that converts coal into electricity,TRUE,coal-fired power station,
Q16817,Karst,topography formed from the dissolution of soluble rocks,TRUE,karst,
Q4668360,Aboriginal communities in Western Australia,communities of indigenous Western Australians,TRUE,Aboriginal community in Western Australia,
Q1197120,Extinct volcano,a volcano considered unlikely to erupt again,TRUE,extinct volcano,
Q148319,Planetarium,theatre built primarily for presenting educational and entertaining shows about astronomy and the night sky,TRUE,planetarium,
Q40080,Beach,area of sand or small stones near the sea or another area of water such as a lake,TRUE,beach,
