pageid,ns,title,type,sitelink,personLabel,personDescription,genderLabel,dob,dod,pobLabel,person,indigenous,indig_filter,project,page,watchers,pageviews,pageviews_offset,revisions,editors,ip_edits,minor_edits,author,author_editcount,created_at,created_rev_id,modified_at,secs_since_last_edit,last_edit_id,assessment,elapsed_time
60105732,0,Louis D'Arrigo,page,https://en.wikipedia.org/wiki/Louis_D%27Arrigo,Louis D'Arrigo,Australian professional footballer,male,2001-09-23,NA,Adelaide,http://www.wikidata.org/entity/Q61927447,not indigenous,keep,en.wikipedia.org,Louis D'Arrigo,0,672,30,97,44,21,9,,40184,2019-03-01,885646947,2023-07-05 14:56,205890,1163557853,,0.206
27926438,0,Steven Da Rui,page,https://en.wikipedia.org/wiki/Steven_Da_Rui,Steven Da Rui,Australian rules footballer,male,1964-03-21,NA,Mount Lawley,http://www.wikidata.org/entity/Q16195486,not indigenous,keep,en.wikipedia.org,Steven Da Rui,0,41,30,46,29,15,15,,2241963,2010-07-03,371514844,2023-05-07 13:11,5309756,1153640343,,0.185
3634902,0,Nick Dal Santo,page,https://en.wikipedia.org/wiki/Nick_Dal_Santo,Nick Dal Santo,Australian rules footballer,male,1984-02-22,NA,Bendigo,http://www.wikidata.org/entity/Q12055877,not indigenous,keep,en.wikipedia.org,Nick Dal Santo,0,1381,30,592,276,249,98,,6,2006-01-06,34090619,2023-05-04 19:30,5546231,1153194187,,0.268
20792057,0,Mark Dalle Cort,page,https://en.wikipedia.org/wiki/Mark_Dalle_Cort,Mark Dalle Cort,Australian rugby league footballer,male,1982-05-19,NA,Ayr,http://www.wikidata.org/entity/Q6767260,not indigenous,keep,en.wikipedia.org,Mark Dalle Cort,0,52,30,71,44,12,31,,32,2008-12-21,259334735,2023-05-14 01:15,4747950,1154685488,,0.18
1802484,0,Anthony Danze,page,https://en.wikipedia.org/wiki/Anthony_Danze,Anthony Danze,Australian soccer player,male,1984-03-15,NA,Perth,http://www.wikidata.org/entity/Q573065,not indigenous,keep,en.wikipedia.org,Anthony Danze,0,91,30,197,101,58,68,,825,2005-04-26,12974359,2023-07-05 14:56,205886,1163557878,,0.185
6422403,0,Luke Davico,page,https://en.wikipedia.org/wiki/Luke_Davico,Luke Davico,Australian rugby league footballer,male,1973-05-16,NA,Gosford,http://www.wikidata.org/entity/Q6701908,not indigenous,keep,en.wikipedia.org,Luke Davico,0,112,30,60,43,9,22,,4469,2006-08-13,69301657,2022-01-02 23:49,47607501,1063415679,,0.195
15019843,0,Fausto De Amicis,page,https://en.wikipedia.org/wiki/Fausto_De_Amicis,Fausto De Amicis,Australian soccer player,male,1968-06-26,NA,Melbourne,http://www.wikidata.org/entity/Q1438502,not indigenous,keep,en.wikipedia.org,Fausto De Amicis,0,289,30,73,56,7,37,,14,2008-01-03,181816782,2023-07-05 14:56,205879,1163557902,,0.185
28361290,0,Ron De Iulio,page,https://en.wikipedia.org/wiki/Ron_De_Iulio,Ron De Iulio,Australian rules footballer,male,1972-04-15,NA,NA,http://www.wikidata.org/entity/Q7363690,not indigenous,keep,en.wikipedia.org,Ron De Iulio,0,85,30,48,31,10,26,,2241967,2010-08-14,378873054,2023-05-19 08:11,4290985,1155688393,,0.189
47480260,0,Mark de Mori,page,https://en.wikipedia.org/wiki/Mark_de_Mori,Mark de Mori,Australian boxer,male,1982-02-11,NA,Perth,http://www.wikidata.org/entity/Q20810745,not indigenous,keep,en.wikipedia.org,Mark de Mori,0,450,30,183,122,110,34,,267,2015-08-09,675299127,2023-07-03 02:53,422056,1163121485,,0.222
13284886,0,Lisa De Vanna,page,https://en.wikipedia.org/wiki/Lisa_De_Vanna,Lisa De Vanna,Australian association football forward,female,1984-11-14,NA,Perth,http://www.wikidata.org/entity/Q432898,not indigenous,keep,en.wikipedia.org,Lisa De Vanna,0,1060,30,640,229,166,138,,9,2007-09-16,158168917,2023-05-24 02:20,3880053,1156678777,,0.28
23894225,0,Gavin DeBartolo,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Gavin DeBartolo,0,22,30,33,22,4,15,,2105,2009-08-07,306514007,2022-04-28 08:40,37639661,1085080906,,0.156
27908958,0,James del Piano,page,https://en.wikipedia.org/wiki/James_del_Piano,James del Piano,Australian businessman (1916-1981),male,1916-11-17,1981-07-13,Kalgoorlie,http://www.wikidata.org/entity/Q6146040,not indigenous,keep,en.wikipedia.org,James del Piano,0,63,30,34,23,0,13,,34475,2010-07-01,371207666,2023-03-22 02:49,9321492,1145983677,,0.175
2582960,0,Brett Deledio,page,https://en.wikipedia.org/wiki/Brett_Deledio,Brett Deledio,Australian rules footballer,male,1987-04-18,NA,Kyabram,http://www.wikidata.org/entity/Q4962136,not indigenous,keep,en.wikipedia.org,Brett Deledio,0,1805,30,727,320,306,150,,2698,2005-08-31,22243671,2023-06-18 05:29,1708670,1160691137,,0.329
25646896,0,Matthew Dellavedova,page,https://en.wikipedia.org/wiki/Matthew_Dellavedova,Matthew Dellavedova,Australian basketball player,male,1990-09-08,NA,Maryborough,http://www.wikidata.org/entity/Q2434352,not indigenous,keep,en.wikipedia.org,Matthew Dellavedova,38,14179,30,1300,549,406,266,,4173,2010-01-01,335327733,2023-06-28 06:57,839393,1162298259,,0.415
44528200,0,Josh Deluca,page,https://en.wikipedia.org/wiki/Josh_Deluca,Josh Deluca,Australian rules footballer,male,1996-05-11,NA,NA,http://www.wikidata.org/entity/Q30588360,not indigenous,keep,en.wikipedia.org,Josh Deluca,0,323,30,56,34,21,11,,88106,2014-11-27,635661563,2021-11-25 22:37,50895045,1057172097,,0.185
14509345,0,John Delzoppo,page,https://en.wikipedia.org/wiki/John_Delzoppo,John Delzoppo,Australian politician,male,1931-12-03,NA,NA,http://www.wikidata.org/entity/Q6229130,not indigenous,keep,en.wikipedia.org,John Delzoppo,0,19,30,30,24,2,13,,1315,2007-12-01,175021184,2020-02-11 21:44,107317405,940325765,,0.167
4727976,0,Suze DeMarchi,page,https://en.wikipedia.org/wiki/Suze_DeMarchi,Suze DeMarchi,Australian singer,female,1964-02-14,NA,Perth,http://www.wikidata.org/entity/Q16195501,not indigenous,keep,en.wikipedia.org,Suze DeMarchi,0,13545,30,188,108,42,61,,1,2006-04-13,48217781,2023-04-17 23:45,6999726,1150398744,,0.188
59001452,0,Robyn Denholm,page,https://en.wikipedia.org/wiki/Robyn_Denholm,Robyn Denholm,"Australian businesswoman, chairwoman of Tesla, Inc.",female,1963-05-27,NA,Milperra,http://www.wikidata.org/entity/Q58345040,not indigenous,keep,en.wikipedia.org,Robyn Denholm,0,6586,30,135,58,17,19,,175100,2018-11-08,867871930,2023-04-09 02:23,7767868,1148919233,,0.217
20584429,0,Paul Dezolt,page,https://en.wikipedia.org/wiki/Paul_Dezolt,Paul Dezolt,Australian rugby league footballer,male,1978-08-29,NA,Australia,http://www.wikidata.org/entity/Q7150254,not indigenous,keep,en.wikipedia.org,Paul Dezolt,0,38,30,43,24,2,18,,59923,2008-12-07,256472079,2023-05-14 03:15,4740749,1154698477,,0.174
2991704,0,Michael Di Venuto,page,https://en.wikipedia.org/wiki/Michael_Di_Venuto,Michael Di Venuto,Australian cricketer,male,1973-12-12,NA,Hobart,http://www.wikidata.org/entity/Q6829846,not indigenous,keep,en.wikipedia.org,Michael Di Venuto,0,2755,30,195,111,24,77,,56057,2005-10-25,26405989,2023-03-12 08:40,10164435,1144187858,,0.217
15040424,0,Frank Dimattina,page,https://en.wikipedia.org/wiki/Frank_Dimattina,Frank Dimattina,Australian rules footballer,male,1946-12-03,NA,NA,http://www.wikidata.org/entity/Q5486239,not indigenous,keep,en.wikipedia.org,Frank Dimattina,0,174,30,55,28,1,27,,45344,2008-01-04,182085673,2023-05-07 03:57,5343025,1153568627,,0.188
5726673,0,Paul Dimattina,page,https://en.wikipedia.org/wiki/Paul_Dimattina,Paul Dimattina,Australian rules footballer,male,1974-11-22,NA,NA,http://www.wikidata.org/entity/Q7150286,not indigenous,keep,en.wikipedia.org,Paul Dimattina,0,268,30,88,53,16,34,,10126,2006-06-27,60787548,2023-05-07 03:57,5343024,1153568631,,0.181
1085722,0,Virgil Donati,page,https://en.wikipedia.org/wiki/Virgil_Donati,Virgil Donati,Australian drummer,male,1958-10-22,NA,Melbourne,http://www.wikidata.org/entity/Q1342264,not indigenous,keep,en.wikipedia.org,Virgil Donati,0,1916,30,425,249,166,102,,1083,2004-10-20,11663540,2023-05-21 09:55,4111920,1156131402,,0.238
15290074,0,Shannon Donato,page,https://en.wikipedia.org/wiki/Shannon_Donato,Shannon Donato,Australian rugby league footballer,male,1975-04-03,NA,Sydney,http://www.wikidata.org/entity/Q7488855,not indigenous,keep,en.wikipedia.org,Shannon Donato,0,54,30,70,40,8,29,,336,2008-01-18,185136639,2022-01-31 18:32,45120909,1069119733,,0.168
4961567,0,Tony Dorigo,page,https://en.wikipedia.org/wiki/Tony_Dorigo,Tony Dorigo,English footballer,male,1965-12-31,NA,Melbourne,http://www.wikidata.org/entity/Q173824,not indigenous,keep,en.wikipedia.org,Tony Dorigo,0,1876,30,312,191,90,86,,10861,2006-04-30,50963631,2023-07-07 16:10,28650,1164021220,,0.242
52690314,0,Claudia Doumit,page,https://en.wikipedia.org/wiki/Claudia_Doumit,Claudia Doumit,Australian actress,female,1987-03-31,NA,Australia,http://www.wikidata.org/entity/Q27928600,not indigenous,keep,en.wikipedia.org,Claudia Doumit,0,23069,30,138,72,52,18,,155336,2016-12-26,756708593,2023-05-22 14:16,4009913,1156369491,,0.255
24746212,0,Christian Esposito,page,https://en.wikipedia.org/wiki/Christian_Esposito,Christian Esposito,Australian soccer player,male,1990-07-23,NA,Adelaide,http://www.wikidata.org/entity/Q5109577,not indigenous,keep,en.wikipedia.org,Christian Esposito,0,128,30,87,34,7,24,,34475,2009-10-19,320764755,2023-07-05 14:57,205809,1163558171,,0.204
40849856,0,Ben Falcone (rugby league),page,https://en.wikipedia.org/wiki/Ben_Falcone_(rugby_league),Ben Falcone,Australian rugby league footballer,male,1988-07-11,NA,Sydney,http://www.wikidata.org/entity/Q16232097,not indigenous,keep,en.wikipedia.org,Ben Falcone (rugby league),0,106,30,40,26,6,13,,8035,2013-10-21,578090573,2023-01-12 17:10,15231452,1133195359,,0.207
56160886,0,Jessica Falkholt,page,https://en.wikipedia.org/wiki/Jessica_Falkholt,Jessica Falkholt,Australian actress,female,1988-05-15,2018-01-17,Sydney,http://www.wikidata.org/entity/Q47003137,not indigenous,keep,en.wikipedia.org,Jessica Falkholt,0,4461,30,362,148,119,52,,625,2017-12-29,817595579,2023-04-23 20:42,6492310,1151401521,,0.212
43661377,0,Orazio Fantasia,page,https://en.wikipedia.org/wiki/Orazio_Fantasia,Orazio Fantasia,Australian rules footballer,male,1995-09-14,NA,Adelaide,http://www.wikidata.org/entity/Q17626632,not indigenous,keep,en.wikipedia.org,Orazio Fantasia,0,3467,30,297,121,201,32,,9594,2014-08-26,622842238,2022-12-09 13:37,18181837,1126465426,,0.225
11464075,0,Frank Farina,page,https://en.wikipedia.org/wiki/Frank_Farina,Frank Farina,Australian soccer player,male,1964-09-05,NA,Darwin,http://www.wikidata.org/entity/Q710474,not indigenous,keep,en.wikipedia.org,Frank Farina,0,2871,30,536,284,134,143,,344,2005-06-29,17826520,2023-07-07 17:15,24775,1164033698,,0.267
14565038,0,Daniela Farinacci,page,https://en.wikipedia.org/wiki/Daniela_Farinacci,Daniela Farinacci,Australian actress,female,NA,NA,NA,http://www.wikidata.org/entity/Q5219216,not indigenous,keep,en.wikipedia.org,Daniela Farinacci,0,554,30,53,32,12,16,,16862,2007-12-05,175841254,2022-08-12 01:20,28507644,1104001055,,0.19
30015421,0,Alex Fasolo,page,https://en.wikipedia.org/wiki/Alex_Fasolo,Alex Fasolo,Australian rules footballer,male,1992-06-08,NA,Western Australia,http://www.wikidata.org/entity/Q4716973,not indigenous,keep,en.wikipedia.org,Alex Fasolo,0,580,30,211,77,54,30,,493,2010-12-12,401889404,2022-07-21 01:35,30407544,1099486574,,0.234
4941100,0,Adam Federici,page,https://en.wikipedia.org/wiki/Adam_Federici,Adam Federici,Australian association football player,male,1985-01-31,NA,Sydney,http://www.wikidata.org/entity/Q349320,not indigenous,keep,en.wikipedia.org,Adam Federici,0,966,30,746,342,237,152,,156,2006-04-29,50726100,2023-07-05 14:58,205805,1163558205,,0.369
2837277,0,Michael Ferrante,page,https://en.wikipedia.org/wiki/Michael_Ferrante,Michael Ferrante,Australian soccer player,male,1981-04-28,NA,Melbourne,http://www.wikidata.org/entity/Q1784486,not indigenous,keep,en.wikipedia.org,Michael Ferrante,0,132,30,242,131,60,72,,NA,2005-10-05,24791432,2023-07-05 14:58,205804,1163558211,,0.199
37004613,0,Bella Ferraro,page,https://en.wikipedia.org/wiki/Bella_Ferraro,Bella Ferraro,Australian singer,female,1994-08-20,NA,Sydney,http://www.wikidata.org/entity/Q16207972,not indigenous,keep,en.wikipedia.org,Bella Ferraro,0,2641,30,132,76,27,36,,37547,2012-09-13,512157963,2023-05-10 15:26,5042490,1154148311,,0.202
1603756,0,Brendan Fevola,page,https://en.wikipedia.org/wiki/Brendan_Fevola,Brendan Fevola,Australian rules footballer,male,1981-01-20,NA,Melbourne,http://www.wikidata.org/entity/Q4960878,not indigenous,keep,en.wikipedia.org,Brendan Fevola,0,3625,30,1036,457,359,212,,NA,2005-03-14,11114394,2023-05-21 17:26,4084923,1156192726,,0.351
2131846,0,Paul Field (musician),page,https://en.wikipedia.org/wiki/Paul_Field_(musician),Paul Field,Australian songwriter,male,1961-05-03,NA,NA,http://www.wikidata.org/entity/Q7150626,not indigenous,keep,en.wikipedia.org,Paul Field (musician),0,1933,30,275,122,79,45,,6,2005-06-28,17788977,2023-04-17 01:02,7081525,1150233411,,0.228
21684409,0,Angela Fimmano,page,https://en.wikipedia.org/wiki/Angela_Fimmano,Angela Fimmano,Association footballer,female,1992-04-22,NA,Adelaide,http://www.wikidata.org/entity/Q4762437,not indigenous,keep,en.wikipedia.org,Angela Fimmano,0,13,30,50,31,1,20,,34475,2009-02-24,272918110,2023-05-12 02:37,4915862,1154379045,,0.169
36932415,0,Lia Finocchiaro,page,https://en.wikipedia.org/wiki/Lia_Finocchiaro,Lia Finocchiaro,Australian politician,female,1984-09-20,NA,Darwin,http://www.wikidata.org/entity/Q6539377,not indigenous,keep,en.wikipedia.org,Lia Finocchiaro,0,618,30,128,51,9,20,,84824,2012-09-06,511009269,2023-06-07 12:18,2634565,1158975698,,0.201
3904630,0,Aaron Fiora,page,https://en.wikipedia.org/wiki/Aaron_Fiora,Aaron Fiora,Australian rules footballer,male,1981-04-19,NA,NA,http://www.wikidata.org/entity/Q4662008,not indigenous,keep,en.wikipedia.org,Aaron Fiora,0,146,30,151,82,61,38,,10126,2006-01-31,37480051,2023-06-27 16:09,892704,1162199259,,0.198
23082701,0,Dean Fiore,page,https://en.wikipedia.org/wiki/Dean_Fiore,Dean Fiore,Australian racing driver,male,1983-12-01,NA,Kalgoorlie,http://www.wikidata.org/entity/Q5246148,not indigenous,keep,en.wikipedia.org,Dean Fiore,0,135,30,152,67,22,31,,42844,2009-06-03,294181574,2023-06-04 11:04,2898224,1158489193,,0.2
51379080,0,Brayden Fiorini,page,https://en.wikipedia.org/wiki/Brayden_Fiorini,Brayden Fiorini,Australian rules footballer,male,1997-08-22,NA,NA,http://www.wikidata.org/entity/Q26704558,not indigenous,keep,en.wikipedia.org,Brayden Fiorini,0,289,30,29,20,11,5,,99803,2016-08-21,735506194,2023-05-07 04:13,5342060,1153570688,,0.176
11067317,0,Michael Firrito,page,https://en.wikipedia.org/wiki/Michael_Firrito,Michael Firrito,Australian rules footballer,male,1983-11-27,NA,NA,http://www.wikidata.org/entity/Q6830306,not indigenous,keep,en.wikipedia.org,Michael Firrito,0,317,30,116,73,49,24,,2241986,2007-05-05,128401199,2023-05-07 04:13,5342059,1153570689,,0.205
5514016,0,Anthony Fisher,page,https://en.wikipedia.org/wiki/Anthony_Fisher,Anthony Fisher,Australian bioethicist; Archbishop of Sydney,male,1960-03-10,NA,Sydney,http://www.wikidata.org/entity/Q573256,not indigenous,keep,en.wikipedia.org,Anthony Fisher,35,880,30,649,167,94,215,,5959,2006-06-11,57983202,2023-06-14 05:01,2055987,1160056989,,0.254
24027628,0,Matthew Foschini,page,https://en.wikipedia.org/wiki/Matthew_Foschini,Matthew Foschini,Australian soccer player,male,1990-10-19,NA,Melbourne,http://www.wikidata.org/entity/Q6790519,not indigenous,keep,en.wikipedia.org,Matthew Foschini,0,76,30,261,119,106,42,,2781,2009-08-18,308634545,2023-07-05 14:58,205798,1163558262,,0.21
18782402,0,Silvio Foschini,page,https://en.wikipedia.org/wiki/Silvio_Foschini,Silvio Foschini,Australian rules footballer,male,1963-09-18,NA,NA,http://www.wikidata.org/entity/Q7517111,not indigenous,keep,en.wikipedia.org,Silvio Foschini,0,117,30,53,32,21,20,,2241988,2008-08-09,230786422,2023-05-07 04:17,5341828,1153571226,,0.178
8872678,0,Adam Foti,page,https://en.wikipedia.org/wiki/Adam_Foti,Adam Foti,Australian soccer player,male,1984-02-20,NA,Sydney,http://www.wikidata.org/entity/Q10391588,not indigenous,keep,en.wikipedia.org,Adam Foti,0,34,30,120,71,27,44,,104,2007-01-11,100020052,2023-07-05 14:58,205797,1163558271,,0.2
3963826,0,Anthony Franchina,page,https://en.wikipedia.org/wiki/Anthony_Franchina,Anthony Franchina,Australian footballer,male,1977-10-11,NA,NA,http://www.wikidata.org/entity/Q4772545,not indigenous,keep,en.wikipedia.org,Anthony Franchina,0,78,30,73,46,8,33,,10126,2006-02-05,38254510,2023-05-07 04:18,5341772,1153571366,,0.204
3441299,0,Paul Franze,page,https://en.wikipedia.org/wiki/Paul_Franze,Paul Franze,Australian rugby league and rugby union footballer,male,1982-03-03,NA,Newcastle,http://www.wikidata.org/entity/Q16221735,not indigenous,keep,en.wikipedia.org,Paul Franze,0,92,30,135,71,38,39,,3450,2005-12-16,31610086,2022-05-10 09:52,36598545,1087097958,,0.199
3106280,0,Archimede Fusillo,page,https://en.wikipedia.org/wiki/Archimede_Fusillo,Archimede Fusillo,Australian writer,male,1962-01-01,NA,NA,http://www.wikidata.org/entity/Q4786879,not indigenous,keep,en.wikipedia.org,Archimede Fusillo,0,21,30,111,82,47,35,,1154,2005-11-08,27687523,2022-09-12 05:12,25815381,1109847573,,0.177
53269203,0,Jacynta Galabadaarachchi,page,https://en.wikipedia.org/wiki/Jacynta_Galabadaarachchi,Jacynta Galabadaarachchi,association football player,female,2001-06-06,NA,Dandenong,http://www.wikidata.org/entity/Q28819530,not indigenous,keep,en.wikipedia.org,Jacynta Galabadaarachchi,0,10288,30,144,75,48,27,,34591,2017-02-22,766785840,2023-07-04 07:31,319000,1163329167,,0.182
48798258,0,Giancarlo Gallifuoco,page,https://en.wikipedia.org/wiki/Giancarlo_Gallifuoco,Giancarlo Gallifuoco,association football player,male,1994-01-12,NA,Sydney,http://www.wikidata.org/entity/Q22004446,not indigenous,keep,en.wikipedia.org,Giancarlo Gallifuoco,0,2053,30,292,128,114,30,,40184,2015-12-12,694898184,2023-07-06 08:48,141615,1163731281,,0.223
54113818,0,Jordan Gallucci,page,https://en.wikipedia.org/wiki/Jordan_Gallucci,Jordan Gallucci,Australian rules footballer,male,1998-05-04,NA,NA,http://www.wikidata.org/entity/Q30016850,not indigenous,keep,en.wikipedia.org,Jordan Gallucci,0,425,30,35,27,10,8,,99803,2017-05-23,781781946,2023-05-29 07:13,3430488,1157528343,,0.234
1863121,0,Frank Gambale,page,https://en.wikipedia.org/wiki/Frank_Gambale,Frank Gambale,Australian guitarist,male,1958-12-22,NA,Canberra,http://www.wikidata.org/entity/Q950090,not indigenous,keep,en.wikipedia.org,Frank Gambale,34,1915,30,371,175,94,110,,NA,2005-05-09,13785097,2023-07-04 16:01,288420,1163388946,,0.221
40858780,0,Sam Gardel,page,https://en.wikipedia.org/wiki/Sam_Gardel,Sam Gardel,Australian-Italian rugby league footballer,male,1988-01-19,NA,Proserpine,http://www.wikidata.org/entity/Q16232114,not indigenous,keep,en.wikipedia.org,Sam Gardel,0,9,30,40,27,8,13,,8035,2013-10-22,578226948,2023-05-14 03:10,4741063,1154698023,,0.196
12794671,0,Natalie Garonzi,page,https://en.wikipedia.org/wiki/Natalie_Garonzi,Natalie Garonzi,Australian actress,female,1980-01-01,NA,NA,http://www.wikidata.org/entity/Q6968161,not indigenous,keep,en.wikipedia.org,Natalie Garonzi,0,75,30,151,94,58,44,,9,2007-08-16,151588611,2022-04-28 06:01,37649239,1085065103,,0.197
37473862,0,Ben Garuccio,page,https://en.wikipedia.org/wiki/Ben_Garuccio,Ben Garuccio,Australian footballer,male,1995-06-15,NA,Adelaide,http://www.wikidata.org/entity/Q4885702,not indigenous,keep,en.wikipedia.org,Ben Garuccio,0,229,30,202,81,71,38,,40184,2012-10-28,520234799,2023-07-05 14:58,205777,1163558370,,0.217
48997104,0,Lou Gatti,page,https://en.wikipedia.org/wiki/Lou_Gatti,Lou Gatti,Australian rules footballer,male,1915-03-07,1977-05-16,Chiltern,http://www.wikidata.org/entity/Q22004499,not indigenous,keep,en.wikipedia.org,Lou Gatti,0,7,30,23,13,0,11,,14641,2016-01-04,698154208,2023-05-07 04:22,5341544,1153571920,,0.189
2054700,0,Jane Gazzo,page,https://en.wikipedia.org/wiki/Jane_Gazzo,Jane Gazzo,Australian broadcaster,female,1977-01-01,NA,Melbourne,http://www.wikidata.org/entity/Q12058404,not indigenous,keep,en.wikipedia.org,Jane Gazzo,0,493,30,567,176,99,109,,19849,2005-06-16,15267230,2023-06-16 02:05,1893755,1160368598,,0.273
